YearMonth,front_1_select,front_2_select,front_3_select,front_4_select,front_5_select,front_6_select,front_7_select,front_8_select,front_9_select,front_10_select,front_11_select,front_12_select,front_13_select,front_14_select,front_15_select,back_1_select,back_2_select,back_3_select,back_4_select,back_5_select,back_6_select,back_7_select,back_8_select,back_9_select,back_10_select,back_11_select,back_12_select,back_13_select,back_14_select,back_15_select
2004-10,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,LQD,LQD,LQD,LQD,EFA,EEM,EFA,EEM,EFA,LQD,LQD,EFA,LQD,LQD,LQD,LQD,LQD,LQD,EEM,EEM
2004-11,EEM,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2004-12,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2005-01,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EEM,LQD,EEM,EEM,EEM,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,LQD,EEM,EEM,EEM
2005-02,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2005-03,LQD,LQD,SHY,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2005-04,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EEM,IEF,EEM,IEF,EEM,IEF,IEF,IEF,IEF,IEF,IEF,EEM,IEF
2005-05,EEM,EEM,EEM,IEF,IEF,EEM,IEF,IEF,IEF,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF
2005-06,EEM,EEM,IEF,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2005-07,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2005-08,SHY,LQD,EEM,SHY,SHY,SHY,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EFA,EEM,IEF,LQD,LQD,EEM,IEF,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD
2005-09,EFA,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2005-10,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2005-11,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,EEM,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY,SHY,EEM,SHY,SHY
2005-12,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2006-01,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2006-02,SHY,SHY,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EFA,EEM,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2006-03,EEM,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,EFA,SHY,EFA,SHY,SHY,SHY,SHY,SHY,EEM,EFA,SHY,EFA,SHY,EEM,EEM,EFA,SHY,EFA,SHY
2006-04,SHY,SHY,SHY,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2006-05,SHY,SHY,SHY,SHY,EEM,EEM,SHY,SHY,SHY,SHY,SHY,EFA,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EFA,SHY,SHY,SHY,SHY
2006-06,SHY,IEF,IEF,IEF,SHY,SHY,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF
2006-07,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,IEF,LQD,EEM,EEM,SHY,SHY,EFA,SHY,SHY
2006-08,IEF,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EEM,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM
2006-09,EFA,EFA,EFA,EFA,EFA,EFA,SPY,SPY,SPY,SPY,SPY,LQD,SPY,LQD,IEF,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,LQD,LQD,SPY,SPY,SPY
2006-10,IEF,IEF,SPY,SPY,SPY,EEM,EEM,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2006-11,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2006-12,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
