Params,Name,Value1,Value2
"(0, 0, 0, 0)",back_5,6.71,0.12
"(0, 0, 0, 10)",front_9,5.52,0.11
"(0, 0, 0, 20)",front_9,5.52,0.11
"(0, 0, 0, 30)",front_9,5.52,0.11
"(0, 0, 0, 40)",front_9,5.52,0.11
"(0, 0, 0, 50)",front_9,5.52,0.11
"(0, 0, 0, 60)",front_9,5.52,0.11
"(0, 0, 0, 70)",front_9,5.52,0.11
"(0, 0, 0, 80)",front_9,5.52,0.11
"(0, 0, 0, 90)",front_9,5.52,0.11
"(0, 0, 0, 100)",front_9,5.52,0.11
"(0, 0, 10, 10)",front_9,5.77,0.11
"(0, 0, 10, 0)",back_10,5.19,0.1
"(0, 0, 10, 20)",front_4,7.75,0.12
"(0, 0, 10, 30)",front_9,6.58,0.11
"(0, 0, 10, 50)",front_9,6.66,0.11
"(0, 0, 10, 40)",front_10,6.74,0.11
"(0, 0, 10, 60)",front_9,6.55,0.11
"(0, 0, 10, 70)",front_9,6.78,0.12
"(0, 0, 10, 80)",front_9,6.47,0.11
"(0, 0, 10, 90)",front_9,6.47,0.11
"(0, 0, 10, 100)",front_9,6.36,0.11
"(0, 0, 20, 10)",front_10,7.55,0.12
"(0, 0, 20, 0)",back_10,5.19,0.1
"(0, 0, 20, 20)",front_9,5.77,0.11
"(0, 0, 20, 30)",back_13,6.31,0.11
"(0, 0, 20, 40)",front_4,7.75,0.12
"(0, 0, 20, 50)",front_4,6.75,0.11
"(0, 0, 20, 60)",front_9,6.58,0.11
"(0, 0, 20, 70)",front_2,7.02,0.11
"(0, 0, 20, 80)",front_10,6.74,0.11
"(0, 0, 20, 90)",front_9,6.64,0.11
"(0, 0, 30, 0)",back_10,5.19,0.1
"(0, 0, 20, 100)",front_9,6.66,0.11
"(0, 0, 30, 10)",back_13,7.67,0.12
"(0, 0, 30, 20)",front_10,6.76,0.12
"(0, 0, 30, 40)",back_13,6.06,0.11
"(0, 0, 30, 30)",front_9,5.77,0.11
"(0, 0, 30, 50)",front_4,5.96,0.11
"(0, 0, 30, 60)",front_4,7.75,0.12
"(0, 0, 30, 70)",front_4,6.87,0.12
"(0, 0, 30, 80)",front_9,6.76,0.12
"(0, 0, 30, 90)",front_9,6.58,0.11
